Query,RetrievedDocuments
313,LA102690-0187 LA091590-0065 LA081590-0078 FBIS4-44908 FBIS3-59655 FBIS3-40374 FBIS4-66412 LA080490-0125 LA121290-0081 FT944-3015 
314,LA050690-0009 LA022389-0086 LA042090-0062 LA102690-0049 LA122390-0050 FR940525-0-00016 FR941122-1-00069 FBIS4-28029 FBIS4-20436 LA062289-0035 
315,LA021189-0138 LA112189-0058 LA120589-0131 LA011590-0065 LA052090-0138 LA103189-0012 LA090489-0081 LA100589-0213 LA112390-0037 LA092789-0019 
316,FT932-4228 FT942-4193 FT934-6885 LA101389-0176 FT943-1071 LA122090-0182 FT933-7689 LA012289-0004 LA111289-0102 FT943-5141 
317,LA052489-0152 LA051789-0061 LA073190-0082 LA080889-0065 LA041589-0053 LA021189-0015 LA021689-0001 FT934-10265 LA042089-0009 FR940223-2-00021 
318,FBIS4-47834 FT933-2400 FT943-13804 FBIS4-56649 FT943-808 LA111990-0124 LA011190-0001 FT933-8395 LA092490-0080 FT923-13987 
319,FBIS4-67889 FBIS3-28321 FBIS3-42072 FBIS3-29403 FR940406-2-00138 FBIS4-66452 FBIS3-59651 FT942-17261 FBIS4-45980 FBIS4-44635 
320,FBIS3-59596 LA031590-0184 LA102990-0070 FT922-7917 FT933-12744 FBIS4-6447 FT941-7241 FBIS3-59590 FR940104-2-00023 FR940810-2-00027 
321,FT933-17002 FT921-610 LA110789-0149 FT922-52 FT934-11863 FT922-190 FT921-7786 LA102989-0176 FT921-5917 FT921-74 
322,FT944-8297 FBIS3-38302 LA120189-0116 LA050390-0251 FBIS3-12547 FBIS3-21765 LA102490-0024 FT941-8365 FT923-1946 FBIS4-26127 
323,LA102689-0011 LA040489-0107 LA060390-0140 LA123090-0003 LA011289-0020 FT944-12689 LA010790-0054 FBIS4-38271 LA072190-0055 LA110889-0155 
324,FBIS3-10552 FBIS3-10753 FT911-3135 FBIS3-10646 FT942-8521 FBIS3-10697 FT942-8527 FBIS4-11409 FBIS3-50570 FT921-13397 
325,LA051390-0219 FBIS3-843 FT944-16074 FT932-14344 FT932-14048 LA041489-0055 FT932-14313 FT943-12085 LA121390-0028 FT934-8727 
326,FT944-15661 FT944-5248 FT944-15057 FT943-178 FT943-312 FT944-10102 FT944-5084 FT931-8485 FT944-11048 FT943-543 
327,FT934-15250 FT934-15708 LA100590-0008 LA102390-0121 LA073090-0093 FT931-5001 LA053190-0137 FT931-1883 LA062190-0015 LA092190-0117 
328,FT942-10572 LA050189-0046 FT922-7713 LA050389-0062 FT944-730 FT934-14389 LA081589-0104 FT941-11155 FT944-8987 LA060889-0127 
329,LA061790-0069 LA061990-0058 LA062790-0048 LA100889-0048 FT921-15471 FT921-15760 FT921-7845 FT922-14197 FT942-9329 LA061890-0072 
330,FBIS4-37162 LA091990-0009 FBIS3-13784 FBIS4-37163 FBIS4-58168 LA033190-0069 FBIS3-19292 FBIS3-14476 FBIS3-12620 FBIS3-33900 
331,FT924-16122 FT942-13529 FT931-266 FT933-7879 FT924-12201 FT933-6337 FT911-1690 FT943-273 FT933-8483 FT933-2306 
332,LA032290-0185 LA120489-0113 LA041789-0115 LA121289-0034 LA121390-0041 LA090889-0170 LA030790-0049 LA021390-0041 LA011689-0065 FT943-5551 
333,FT943-677 FT944-18645 FT942-6645 FT942-7603 FT924-5307 LA052190-0106 FT933-7438 FT944-3523 LA092490-0069 LA070489-0051 
334,FR940727-2-00005 FT943-5307 FR940111-2-00009 FBIS3-41973 FBIS3-7295 FT941-10834 FT933-265 FBIS4-52707 FT934-5713 LA072090-0110 
335,LA070190-0096 LA071490-0012 LA072290-0043 LA100590-0008 LA010690-0131 LA032590-0149 LA102390-0121 LA070190-0124 LA052690-0132 LA052690-0131 
336,FBIS4-16530 LA081689-0039 FT932-15491 LA012589-0100 LA100489-0072 FT941-17729 LA101789-0048 FT931-1888 LA112189-0045 FT942-12393 
337,FBIS3-22624 FBIS3-22539 FBIS3-60500 FBIS3-60427 FBIS4-20456 FBIS3-22693 FBIS3-43064 FR940831-2-00073 FBIS3-22648 FBIS4-20345 
338,FT941-11009 FT941-16918 FT921-660 FT922-2333 FR941006-1-00135 LA112889-0127 LA072289-0144 FT921-3865 LA093090-0066 FT923-8509 
339,LA072489-0041 LA082090-0069 FT933-3956 FT922-1565 FT932-7262 FT922-715 FR940816-2-00070 FT922-7420 LA073090-0057 FT924-8306 
340,FT941-6884 FBIS3-5917 FBIS4-18597 FT941-5608 FT911-1769 FBIS3-51041 FBIS4-33779 FT911-2897 LA100990-0079 FT942-10464 
341,FBIS4-1468 LA021489-0071 FBIS4-571 FT933-6584 FBIS3-941 LA091689-0123 FBIS3-52981 LA010589-0125 FBIS3-43990 FT931-6812 
342,LA050689-0089 LA031589-0128 LA052289-0053 LA031689-0200 FBIS4-36856 FBIS4-36917 LA031189-0047 LA031089-0061 FT931-10997 FT921-16122 
343,FT923-11076 LA112089-0041 LA101590-0075 LA051289-0002 LA032389-0028 LA022389-0196 LA070689-0007 LA083090-0003 FT931-3317 LA060189-0203 
344,LA061589-0156 LA070290-0116 LA120190-0068 FR940324-1-00025 FT941-6854 FR941216-0-00064 LA052390-0093 FT942-12165 FT921-6590 FT941-3323 
345,FT942-13859 FT922-12878 FT943-12012 FT934-12281 FT944-9537 LA021890-0196 FT924-8332 FT942-14179 FT921-11387 FT923-978 
346,FT934-12112 FT941-10306 FT921-4473 FBIS4-45112 FT934-3966 FT934-2210 FT933-453 FT941-17525 FT943-4850 FR940919-2-00014 
347,FT942-16221 LA051890-0005 FBIS4-25068 FBIS4-45823 FT922-5484 LA081290-0121 FBIS4-21436 FBIS3-22312 FT944-8277 LA102389-0013 
348,LA100689-0117 LA070589-0081 LA061089-0052 FT922-4205 FT944-3904 FBIS3-60342 FBIS4-20472 FBIS4-66382 FR940112-1-00044 FBIS3-41666 
349,FT924-15657 FT921-13251 LA080890-0068 FR940405-1-00043 FBIS4-47419 FR941222-1-00035 FBIS4-47566 LA011389-0029 FR940817-2-00229 LA082290-0101 
350,LA060690-0112 LA062390-0104 LA052290-0188 FT923-4291 LA100690-0107 FT942-5277 FT942-17628 FR940825-0-00110 LA052390-0093 LA083189-0200 
351,FT941-9999 FT934-4848 FT942-12805 FT932-16710 FT921-6603 FT922-15099 FT944-15849 FT921-8458 FT921-8241 FT922-14936 
352,FT942-8510 FT934-11803 LA120290-0163 FT944-4064 FT942-12999 FT942-11118 FT942-6682 FT941-4219 FT934-2741 FT922-14746 
353,FT911-558 FT911-4348 LA111690-0059 LA120389-0149 LA011589-0120 FT911-4349 FT942-9491 FBIS3-21000 FBIS4-26294 LA071689-0207 
354,FBIS4-2431 FT932-451 FBIS4-66693 FT934-3157 FBIS3-30283 FT934-16928 FBIS3-8594 FBIS3-19375 LA070790-0061 FBIS4-41683 
355,FBIS4-20436 FBIS4-44693 FBIS3-21238 FBIS4-20602 FT943-1589 FBIS4-20917 LA101589-0091 LA071789-0059 FBIS4-67760 FBIS4-49691 
356,LA020589-0078 LA092890-0067 LA033089-0013 LA010790-0103 FR940513-2-00108 FR940628-2-00059 LA020490-0136 LA010390-0067 LA063090-0103 LA071290-0133 
357,FT941-2301 FT923-4500 FT932-10353 FBIS4-50657 FT944-7864 FBIS3-56981 FBIS3-48123 FBIS3-36488 FBIS4-53445 FT921-6610 
358,LA040789-0022 LA040689-0027 LA030889-0034 LA101090-0043 LA091389-0008 LA051889-0059 LA092789-0026 LA081789-0031 LA110890-0049 LA011290-0111 
359,FR940406-2-00070 FT941-5441 FT944-9850 FBIS3-20966 FT943-9417 FT942-12185 LA032690-0072 FT934-16723 LA020489-0104 FT941-8198 
360,LA031289-0044 LA032590-0032 FBIS3-10396 FT931-16994 FBIS3-21631 FBIS3-9970 LA011790-0128 LA031990-0020 FBIS3-11634 FBIS3-22038 
361,LA081190-0123 LA022890-0105 LA021090-0137 LA061290-0137 LA112689-0137 LA112689-0194 LA032290-0007 LA123189-0192 LA112889-0108 FBIS3-20402 
362,FT932-5376 FT932-4965 FBIS3-15892 FBIS4-12999 FBIS3-24325 FBIS3-7251 LA071489-0020 LA083189-0209 FBIS3-39240 FBIS4-31707 
363,LA070890-0174 FT944-18875 FT934-16627 LA071490-0079 FT941-5434 FT934-9854 FT922-7782 FT942-11842 FT942-3907 FT942-12510 
364,LA021189-0113 FBIS3-4916 FBIS3-22604 FBIS3-22643 FBIS3-22622 LA110689-0034 LA122790-0077 FR941006-1-00007 FR941006-1-00006 FBIS4-45868 
365,LA021690-0167 LA123090-0031 LA070990-0005 FT923-14358 FT921-10204 LA062890-0007 LA112790-0036 LA110390-0071 LA041890-0004 FT932-14766 
366,FT941-16332 LA030889-0031 LA011990-0179 LA102990-0105 FBIS3-46993 LA062690-0034 FR940919-0-00073 FR940919-0-00072 FBIS4-20690 LA022189-0044 
367,FT923-9880 FBIS3-3864 FT922-6363 FBIS4-50246 FBIS3-44900 FBIS3-48230 FT923-1266 FBIS4-49621 FBIS4-53276 FT942-11613 
368,LA120789-0015 LA062389-0034 LA080790-0131 LA092189-0226 LA032790-0011 LA080789-0101 LA092689-0055 LA072390-0045 LA041390-0072 LA101689-0053 
369,LA082189-0039 LA061290-0021 FT922-12878 LA110789-0040 FT941-13341 LA101189-0084 LA052589-0150 LA120690-0074 LA111690-0131 FT943-11620 
370,FR940127-1-00067 FT911-3142 LA032690-0013 FR940922-1-00071 LA081089-0067 LA022789-0014 FR940105-0-00052 FT921-14029 FR940114-2-00066 LA031590-0059 
371,LA072289-0144 LA121490-0004 LA082690-0003 FT933-1948 FT933-2764 FT923-6357 FT944-5703 FT943-10844 FT932-14884 LA041189-0117 
372,FT942-12298 FT924-6336 FT931-2855 FT944-1462 FT933-15188 LA011490-0067 LA083090-0264 LA102689-0153 LA050390-0182 LA091090-0080 
373,FT933-10240 FR940727-2-00005 FT943-5307 FR940902-0-00008 FT943-12981 FR940111-2-00008 FR940111-2-00007 FR940111-2-00009 FR940513-2-00063 FR940711-2-00018 
374,FT924-13568 LA110489-0043 FT932-4073 FBIS4-25311 FT923-3841 FT944-16682 LA101289-0221 FT924-13697 FT934-15186 LA020989-0181 
375,FBIS3-60662 FBIS4-44698 FBIS4-20560 FBIS4-66430 FBIS3-59553 FBIS3-60383 FBIS4-29696 FBIS4-44635 FBIS4-44655 FT944-16550 
376,LA030889-0148 LA042890-0033 FT924-4091 FT941-11280 FT911-3556 FBIS4-28351 LA111890-0100 FBIS4-26096 FT922-12921 LA013190-0102 
377,FT942-10789 LA011189-0012 LA010590-0159 LA041289-0040 LA102989-0038 FT933-11043 LA032489-0164 LA020289-0058 FT924-4990 FT924-8332 
378,FT931-9218 FT924-10612 FT933-14360 FT942-6780 FT931-5162 FBIS4-64328 FBIS4-42685 FT923-2077 FT922-8522 FT923-2373 
379,LA110890-0003 FT934-6431 FT924-13555 LA110890-0095 LA102690-0163 LA051689-0021 FT933-12835 FT943-15158 FT924-11890 LA041989-0009 
380,FT934-704 FT932-8691 LA092090-0005 LA041990-0068 LA033089-0019 LA082390-0077 FT943-208 LA070889-0056 FT941-139 LA070489-0003 
381,LA082690-0003 LA091289-0027 FT942-16930 FT931-8050 FT922-461 FT932-9008 FT932-13552 LA011590-0099 FT923-437 LA070889-0018 
382,FBIS4-44872 FBIS4-44698 FR941219-1-00027 FBIS4-44635 FBIS4-44701 FT942-15408 FR941219-1-00026 LA101289-0199 FBIS4-20567 FR940830-2-00026 
383,LA111290-0137 LA062489-0059 FT921-6891 LA070390-0063 LA010590-0095 LA101690-0121 LA082290-0101 FT933-4868 LA062389-0002 LA090389-0060 
384,FBIS4-28821 LA072189-0108 LA102289-0040 LA071689-0207 LA072289-0042 LA083090-0083 LA061789-0038 LA070290-0143 LA092990-0085 LA021290-0037 
385,FT943-11934 FBIS4-44698 FBIS4-67596 FBIS4-44635 FT943-11627 LA042990-0226 FBIS4-44854 FT933-2369 FT941-17640 FBIS3-59761 
386,LA020290-0097 FR941219-2-00053 LA020989-0132 LA051689-0021 LA102790-0129 FT924-14456 LA051190-0078 LA050790-0001 LA012589-0035 LA112689-0048 
387,FBIS4-64772 FBIS4-67522 FBIS3-61561 FBIS3-40271 FBIS4-60846 LA111990-0049 FBIS4-45922 FBIS4-53441 FBIS3-61560 FT944-9354 
388,FBIS4-45665 FT942-12504 LA081490-0042 LA092389-0150 FBIS3-12226 FBIS3-28050 LA021190-0042 FT943-15995 FT941-10100 FR940920-2-00047 
389,FT922-3845 FBIS3-41110 FBIS3-48526 FBIS3-60689 FT923-8931 FT924-10031 LA061690-0015 FR940407-2-00136 LA033090-0001 FBIS4-40109 
390,LA111090-0112 FT941-10753 LA062690-0105 FR940830-2-00058 LA101489-0072 LA041289-0054 LA060289-0090 LA060189-0211 FT921-13615 LA122290-0138 
391,FT934-2667 FT941-6197 FT924-2198 FT941-1818 FT923-11707 FT941-10753 FT942-2835 FT933-1430 FT921-6427 FT923-11708 
392,FT933-4691 FBIS3-4413 FBIS3-40531 FT931-6266 FT941-15546 FT924-1130 FBIS3-40223 FT944-18195 FBIS3-20965 FBIS4-44738 
393,LA080190-0135 LA040989-0124 LA091189-0107 LA122689-0126 FT924-15580 FBIS4-43927 LA081290-0091 LA061090-0035 LA020389-0058 FBIS3-13401 
394,LA072989-0108 LA121589-0149 LA090190-0134 LA100890-0139 LA072089-0027 LA111889-0108 LA052790-0147 LA031190-0045 LA022789-0102 LA092589-0107 
395,FBIS4-52139 FBIS4-20782 FBIS4-15987 FT923-14219 FBIS4-52601 FBIS3-25997 FBIS3-1851 FBIS4-24813 FBIS4-25756 FBIS4-24538 
396,FT923-9638 FT923-2548 FT923-4291 LA100690-0080 FT923-7392 FR940405-1-00035 FR940405-1-00038 FR940405-1-00054 FR940405-1-00092 FT924-15322 
397,LA020190-0022 LA061090-0062 FT922-9854 LA060989-0007 LA081390-0042 LA050690-0184 FBIS4-9882 LA121490-0002 FR940720-0-00104 LA101589-0164 
398,FBIS4-5485 LA060290-0124 FT921-12676 FBIS3-40898 FT924-808 FBIS3-26497 FT921-3280 LA052790-0206 FBIS4-20933 FT923-9588 
399,FT934-7286 FBIS4-21350 FBIS4-21536 FBIS3-6833 FBIS4-45777 LA062290-0052 FR940916-0-00044 FT944-6974 LA032289-0033 FR940811-0-00045 
400,LA060989-0041 LA012289-0052 LA050789-0087 LA032590-0089 LA101589-0017 LA121890-0005 LA121290-0147 LA040789-0077 LA121390-0112 LA042389-0057 
401,FT922-14939 FBIS3-20090 FT932-5884 FBIS3-59042 FT933-2163 FT941-4640 FBIS3-19768 FT924-4470 FT931-2176 FBIS3-58832 
402,LA101290-0115 LA072489-0053 FR940812-2-00253 LA101690-0121 LA042990-0032 FR940204-2-00090 LA091589-0015 FR940812-2-00254 FBIS3-20885 LA062590-0042 
403,LA010790-0103 LA011389-0029 LA071290-0133 FR940525-1-00062 FR940525-1-00078 FT924-979 LA020490-0136 FR940525-1-00079 FR940603-2-00065 LA032290-0151 
404,FT934-16951 FT934-11034 FBIS4-66026 FT934-4311 FT934-16301 FT934-1822 FBIS3-19785 FT934-11487 FT934-9911 FT934-11680 
405,FT943-10128 FT941-17652 FT922-11472 LA020190-0053 FT922-11525 LA063089-0071 LA042089-0083 FBIS3-37090 LA011590-0098 FT943-3693 
406,LA121189-0042 FT933-5690 LA051790-0095 LA080489-0045 LA102890-0062 LA121789-0114 LA091990-0010 LA092790-0006 LA011590-0099 FR940414-2-00052 
407,LA050889-0063 FT921-6003 FT941-15416 FT932-12511 LA012589-0100 LA112890-0007 FT941-5453 FT933-7330 FT933-9176 FT941-2746 
408,LA100890-0072 LA062889-0066 LA101490-0142 LA101390-0102 LA092390-0028 FT923-1747 LA101289-0148 FT933-8357 LA062989-0112 LA120389-0130 
409,FT941-758 FT923-13692 FT923-13817 LA050989-0113 LA120589-0083 LA080589-0053 FT923-11688 FT921-714 LA031989-0099 LA122289-0117 
410,FBIS4-44277 FBIS3-59001 FT932-16523 FBIS4-64577 FT932-12074 FT922-751 FT934-14347 FT934-14160 FT933-16910 FBIS3-39341 
411,LA101289-0146 FT922-4205 LA111289-0106 FT932-4727 FT944-6915 LA100189-0095 FT933-8545 LA030589-0073 FT942-8279 LA053190-0084 
412,FBIS4-1468 LA021489-0071 FBIS4-571 FT933-6584 FBIS3-941 LA091689-0123 FBIS3-52981 LA010589-0125 FBIS3-43990 FT931-6812 
413,FBIS3-46901 FT923-3277 FT921-14533 FT933-15473 FBIS3-44557 FT944-1455 FT922-11333 FT923-1996 FT941-3362 FT922-11476 
414,FT944-12369 FT921-9644 FT932-13478 FBIS4-10373 FBIS3-36211 FBIS4-38627 FT922-8462 FBIS4-34643 FT944-11926 FT943-1006 
415,FT921-3261 FBIS3-60083 FBIS3-60025 FBIS3-2893 FBIS3-21943 FBIS4-2802 LA121690-0051 FBIS4-21166 FBIS4-26800 FBIS4-26801 
416,FBIS3-46276 FBIS3-44551 FBIS4-44554 FBIS4-44586 FBIS3-45658 FBIS3-46007 FBIS3-45857 FBIS3-3047 FBIS4-49091 FT941-12849 
417,LA092989-0114 LA101489-0015 LA112089-0015 LA072990-0201 LA093090-0112 FT933-15822 LA091489-0178 FT923-11128 LA061689-0103 FT921-3013 
418,LA102890-0220 LA051889-0088 LA081189-0137 FT941-15243 LA060890-0112 LA102189-0167 LA050290-0141 LA012690-0047 FT924-9142 LA032289-0006 
419,FBIS4-67400 FR940830-2-00026 LA040190-0174 LA121389-0085 FT933-1817 FBIS3-33102 FBIS3-42466 FBIS4-44724 FBIS4-20567 LA031189-0060 
420,LA121590-0108 LA010489-0041 LA121890-0152 LA121289-0035 LA112990-0231 LA011989-0129 LA010389-0040 LA012489-0059 LA010390-0086 LA042990-0140 
421,FBIS3-22152 FT934-17401 FT934-17408 FT943-14601 FT944-9354 FT923-13224 FT924-8720 FR940511-1-00080 FT944-7809 FBIS4-25731 
422,LA062890-0110 FT934-11678 LA010390-0051 LA110789-0019 LA051889-0110 LA062090-0083 LA040490-0103 LA091390-0023 LA062290-0062 LA121289-0148 
423,FT933-2528 FT942-11666 FBIS4-32072 FT944-439 FT942-13554 FBIS4-30975 FT933-2532 FT943-7734 FBIS4-55851 FT944-12689 
424,LA061190-0030 LA012789-0022 LA121590-0063 FBIS3-24330 LA042590-0171 FT943-6959 LA012989-0018 LA092090-0243 LA121390-0235 FT934-8636 
425,FBIS3-58171 FBIS4-58263 FBIS4-26260 LA102189-0077 LA071389-0111 FBIS4-42384 FBIS4-46047 FBIS3-10532 LA022289-0114 FBIS4-46741 
426,LA031490-0004 FT931-16885 LA072989-0111 LA072889-0063 LA112589-0119 LA091990-0022 LA052089-0081 FBIS4-38895 FBIS4-45336 LA042190-0066 
427,LA082089-0008 FT933-1362 FT924-7120 FT922-7705 FT923-10771 FBIS3-42547 FR941028-2-00213 LA043089-0098 LA080590-0077 FBIS3-41575 
428,FT943-11076 FBIS4-66212 FBIS4-16198 FBIS4-62081 FT931-13724 LA043089-0062 FT941-16778 FBIS4-3960 FBIS4-46932 FT943-9226 
429,LA010590-0062 FT932-10547 LA110389-0072 FR940920-2-00083 FT911-4484 LA062090-0050 FR940202-2-00109 FT943-1146 FBIS3-41744 LA042990-0020 
430,LA073089-0143 LA061589-0055 LA080389-0111 LA082889-0051 FT911-4886 LA121690-0053 LA082089-0061 FBIS3-22135 LA062390-0104 LA091089-0005 
431,FBIS3-20965 FBIS3-46247 FBIS3-1764 FT941-15546 FT941-13625 FBIS3-1903 LA103190-0122 FT942-5669 FT921-8893 FBIS4-22880 
432,FT933-17008 LA040290-0025 LA122890-0023 LA051590-0152 LA043089-0085 FBIS3-43349 LA052689-0086 FT933-16656 LA011289-0070 LA113089-0146 
433,FT931-15365 FBIS4-19277 FBIS3-13963 LA080389-0191 LA100990-0018 LA022389-0090 LA030689-0059 FT923-10233 LA050590-0110 FBIS3-39770 
434,FBIS4-15983 FBIS4-25407 FBIS3-42852 FT943-14253 FBIS3-54829 FBIS4-61316 FBIS4-15821 FBIS4-17272 FBIS4-63677 FBIS4-62603 
435,FT941-12411 LA051189-0089 FT934-5517 FT943-5797 FT933-3423 FT931-892 FT931-1806 FT934-7698 FT931-1205 FT943-8321 
436,FT931-12899 FT941-7101 FBIS3-11568 FT924-4812 LA112690-0054 FT941-7105 FT931-14769 FT943-8887 FT922-12193 FT923-5087 
437,FT942-3871 FT933-2758 FT921-15570 FT944-6736 FT943-13555 FT942-10389 FBIS3-58194 FBIS3-60318 FT942-10697 FBIS3-35090 
438,FBIS3-33309 FT923-14219 FT943-12936 FBIS4-51074 FBIS3-32487 FBIS4-10429 FBIS4-7744 FT942-10654 FBIS4-56177 FBIS4-24813 
439,FT942-14635 LA010990-0070 LA092989-0114 FT922-12843 FT942-11282 FBIS3-23562 FT931-1310 FBIS4-53648 FBIS4-28316 FT924-13568 
440,LA031690-0183 LA060689-0153 LA040390-0172 LA040590-0063 LA032290-0007 LA051790-0172 FBIS3-20336 LA062190-0015 FBIS4-5852 FBIS4-28039 
441,LA092090-0248 LA112690-0027 FBIS4-67664 LA081989-0064 LA071989-0117 FR940802-1-00015 LA061389-0087 FBIS4-45839 FBIS3-41801 FT923-453 
442,FBIS4-36282 LA042389-0096 FBIS3-13234 FBIS3-60871 FBIS4-60045 LA071090-0093 LA022590-0017 FBIS3-1953 LA100990-0034 FT942-5013 
443,FBIS4-3998 FBIS4-48079 LA042789-0136 LA101189-0089 FBIS4-55016 LA032289-0112 FR941130-2-00072 LA062690-0180 FBIS3-51615 LA021190-0178 
444,FBIS4-44747 FT943-4354 FBIS4-45803 FR940318-0-00213 FR940318-0-00173 FR940318-0-00170 FT932-7115 FBIS4-44741 FBIS4-66450 FT933-14063 
445,FT931-11616 FT942-2917 FT944-1870 FT944-2077 FT924-8156 LA110789-0149 FT941-7858 FT943-15291 LA052089-0034 FT934-408 
446,FBIS4-10911 FBIS4-56591 FT943-11047 FT932-16493 FT933-12228 FT924-8062 FT931-4450 FT924-12197 FBIS4-59260 FT934-12416 
447,FBIS3-24505 FT923-9701 LA092189-0219 FT944-2711 FT944-2115 LA090189-0116 FR940318-0-00154 FR940318-0-00152 FR940505-1-00225 FT943-17009 
448,FT921-11935 FT933-7775 FT921-2738 FT943-536 FT942-4810 LA052489-0093 FT921-2995 FT943-178 FT924-7326 FT944-15103 
449,FR940523-0-00038 LA052190-0106 FBIS4-23025 FT932-16160 FT944-10375 FBIS4-23024 LA090289-0074 LA082090-0069 FBIS4-23026 FR940523-0-00045 
450,LA110690-0086 FT933-748 FT943-10634 FT933-3882 FT934-6691 FT941-10100 FT924-13555 FT943-15934 FT933-5957 FT941-12873 
